Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Decker-Voigt02a;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
Decker-Voigt02b;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
Decker-Voigt02c;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
Decker-Voigt02d;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
Decker-Voigt02e;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
Decker-Voigt02f;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
Decker-Voigt03;Decker-Voigt;Hans-Helmut;Du musst zurücktreten, Junge! Autobiografische Erzählungen.;2008;Autobiografie, Hans-Helmut, Decker-voigt;Inneres Wachstum braucht wenigstens zwei Zutaten: ein Verstehen der äußeren Faktoren, die uns in Lebensrichtungen zu drängen versuchen, und ein unerschütterliches Wissen über das eigene Gemeint-Sein. Beides braucht Zeit, um sich zur persönlichen Reife zu entfalten. Es lohnt sich, gelegentlich innezuhalten und die eigene Seelenlandschaft zu überblicken – oder diejenige der Menschen, auf die man sich am innigsten bezieht. Hans-Helmut Decker-Voigt, im anderen Teil seines Lebens Professor für Musiktherapie, tut dies in diesem Erzählband, indem er die Spiegelungen verwandter Menschen in seinem eigenen Seelenbrunnen beobachtet und aus ihm schöpft. Insbesondere im Dialog mit seiner Mutter fördert er tiefsinnige Einsichten zutage, die das so häufig problembeladene Verhältnis zwischen Bezogenheit und Ich-Behauptung erhellen. Dabei liegt über allen Geschichten der freundliche Schimmer einer humorvollen Menschenliebe, die das Lesen zum reinen Vergnügen macht.;3927369365;Deutsch
Decker-Voigt04;Decker-Voigt;Hans-Helmut;"""... da bewegt sich was..."" Intermediale Musiktherapie in sozialen Berufen.";2018;Medien, intermediale Musiktherapie, Knills, Digitalisierung;"Jede Gestaltung mit künstlerischen Medien ""bewegt"" und ändert damit die Psychodynamik der einzelnen KlientInnen/ PatientInnen bzw. die Dynamik einer Gruppe. Dieses Buch führt ein in die Arbeit mit intermedialen Verfahrensschritten: Die Verbindung einzelner künstlerischer Medien wie Musik, Bewegung/Tanz, Sprache, Malen/Bildnerisches Gestalten, digitale Instrumente und der Natur als Co-Therapeutin. Die jahrelange Zusammenarbeit von Paolo J. Knill (Ausdruckstherapie) und Hans-Helmut Decker-Voigt (Musik- und Medientherapie) veranlasst den Herausgeber anzuregen, diese Verfahren für die sozialen Berufe unter Einbeziehung der neuen digitalen Medien sowie der uralten der Natur für soziale Berufe aufzubereiten. Der Praxisteil von Constanze Rüdenauer-Speck lädt ein zu Spielprozessen ""von einem Medium zum anderen"", die zusammen mit dem Grundlagenteil sowohl therapeutisch als auch sozial- und heilpädagogisch aufbereitet werden können.

""Die Zukunft der Heilkunst liegt in der Rückkehr der Künste.""
James Hillman

""Jedes Umweltmaterial und jede Kombination von Materialien kann in der Gestaltung zu Kunst werden.""
Paolo J. Knill

""Die einzig revolutionäre Kraft ist die Kraft der menschlichen Kreativität, die einzig revolutionäre Kraft ist die Kunst.""
Joseph Beuys

""Der Autor legt ein Grundlagenwerk zur Intermedialen Musiktherapie vor, das sich in Verbindung mit einem grosszügig bebilderten Praxisteil von Constanze Rüdenauer-Speck als wertvolles Handbuch für alle Studierenden, Lehrenden und
Freunde der sozialen Berufe erweisen dürfte.""
Kurt Brust, Herausgeber

""Hans-Helmut Decker-Voigt hat mit seinem Institut für Medien- und Ausdruckstherapie grundlegende Prinzipien einer intermedialen Berufsausbildung entwickelt und später an der Hochschule für Musik und Theater Hamburg umgesetzt"".
Paolo J. Knill und Herbert Eberhart";978-3-95490-383-2;Deutsch
Decker-Voigt04a;Decker-Voigt;Hans-Helmut;"""... da bewegt sich was..."" Intermediale Musiktherapie in sozialen Berufen.";2018;Medien, intermediale Musiktherapie, Knills, Digitalisierung;"Jede Gestaltung mit künstlerischen Medien ""bewegt"" und ändert damit die Psychodynamik der einzelnen KlientInnen/ PatientInnen bzw. die Dynamik einer Gruppe. Dieses Buch führt ein in die Arbeit mit intermedialen Verfahrensschritten: Die Verbindung einzelner künstlerischer Medien wie Musik, Bewegung/Tanz, Sprache, Malen/Bildnerisches Gestalten, digitale Instrumente und der Natur als Co-Therapeutin. Die jahrelange Zusammenarbeit von Paolo J. Knill (Ausdruckstherapie) und Hans-Helmut Decker-Voigt (Musik- und Medientherapie) veranlasst den Herausgeber anzuregen, diese Verfahren für die sozialen Berufe unter Einbeziehung der neuen digitalen Medien sowie der uralten der Natur für soziale Berufe aufzubereiten. Der Praxisteil von Constanze Rüdenauer-Speck lädt ein zu Spielprozessen ""von einem Medium zum anderen"", die zusammen mit dem Grundlagenteil sowohl therapeutisch als auch sozial- und heilpädagogisch aufbereitet werden können.

""Die Zukunft der Heilkunst liegt in der Rückkehr der Künste.""
James Hillman

""Jedes Umweltmaterial und jede Kombination von Materialien kann in der Gestaltung zu Kunst werden.""
Paolo J. Knill

""Die einzig revolutionäre Kraft ist die Kraft der menschlichen Kreativität, die einzig revolutionäre Kraft ist die Kunst.""
Joseph Beuys

""Der Autor legt ein Grundlagenwerk zur Intermedialen Musiktherapie vor, das sich in Verbindung mit einem grosszügig bebilderten Praxisteil von Constanze Rüdenauer-Speck als wertvolles Handbuch für alle Studierenden, Lehrenden und
Freunde der sozialen Berufe erweisen dürfte.""
Kurt Brust, Herausgeber

""Hans-Helmut Decker-Voigt hat mit seinem Institut für Medien- und Ausdruckstherapie grundlegende Prinzipien einer intermedialen Berufsausbildung entwickelt und später an der Hochschule für Musik und Theater Hamburg umgesetzt"".
Paolo J. Knill und Herbert Eberhart";978-3-95490-383-2;Deutsch
Decker-Voigt04b;Decker-Voigt;Hans-Helmut;"""... da bewegt sich was..."" Intermediale Musiktherapie in sozialen Berufen.";2018;Medien, intermediale Musiktherapie, Knills, Digitalisierung;"Jede Gestaltung mit künstlerischen Medien ""bewegt"" und ändert damit die Psychodynamik der einzelnen KlientInnen/ PatientInnen bzw. die Dynamik einer Gruppe. Dieses Buch führt ein in die Arbeit mit intermedialen Verfahrensschritten: Die Verbindung einzelner künstlerischer Medien wie Musik, Bewegung/Tanz, Sprache, Malen/Bildnerisches Gestalten, digitale Instrumente und der Natur als Co-Therapeutin. Die jahrelange Zusammenarbeit von Paolo J. Knill (Ausdruckstherapie) und Hans-Helmut Decker-Voigt (Musik- und Medientherapie) veranlasst den Herausgeber anzuregen, diese Verfahren für die sozialen Berufe unter Einbeziehung der neuen digitalen Medien sowie der uralten der Natur für soziale Berufe aufzubereiten. Der Praxisteil von Constanze Rüdenauer-Speck lädt ein zu Spielprozessen ""von einem Medium zum anderen"", die zusammen mit dem Grundlagenteil sowohl therapeutisch als auch sozial- und heilpädagogisch aufbereitet werden können.

""Die Zukunft der Heilkunst liegt in der Rückkehr der Künste.""
James Hillman

""Jedes Umweltmaterial und jede Kombination von Materialien kann in der Gestaltung zu Kunst werden.""
Paolo J. Knill

""Die einzig revolutionäre Kraft ist die Kraft der menschlichen Kreativität, die einzig revolutionäre Kraft ist die Kunst.""
Joseph Beuys

""Der Autor legt ein Grundlagenwerk zur Intermedialen Musiktherapie vor, das sich in Verbindung mit einem grosszügig bebilderten Praxisteil von Constanze Rüdenauer-Speck als wertvolles Handbuch für alle Studierenden, Lehrenden und
Freunde der sozialen Berufe erweisen dürfte.""
Kurt Brust, Herausgeber

""Hans-Helmut Decker-Voigt hat mit seinem Institut für Medien- und Ausdruckstherapie grundlegende Prinzipien einer intermedialen Berufsausbildung entwickelt und später an der Hochschule für Musik und Theater Hamburg umgesetzt"".
Paolo J. Knill und Herbert Eberhart";978-3-95490-383-2;Deutsch
Decker-Voigt04c;Decker-Voigt;Hans-Helmut;"""... da bewegt sich was..."" Intermediale Musiktherapie in sozialen Berufen.";2018;Medien, intermediale Musiktherapie, Knills, Digitalisierung;"Jede Gestaltung mit künstlerischen Medien ""bewegt"" und ändert damit die Psychodynamik der einzelnen KlientInnen/ PatientInnen bzw. die Dynamik einer Gruppe. Dieses Buch führt ein in die Arbeit mit intermedialen Verfahrensschritten: Die Verbindung einzelner künstlerischer Medien wie Musik, Bewegung/Tanz, Sprache, Malen/Bildnerisches Gestalten, digitale Instrumente und der Natur als Co-Therapeutin. Die jahrelange Zusammenarbeit von Paolo J. Knill (Ausdruckstherapie) und Hans-Helmut Decker-Voigt (Musik- und Medientherapie) veranlasst den Herausgeber anzuregen, diese Verfahren für die sozialen Berufe unter Einbeziehung der neuen digitalen Medien sowie der uralten der Natur für soziale Berufe aufzubereiten. Der Praxisteil von Constanze Rüdenauer-Speck lädt ein zu Spielprozessen ""von einem Medium zum anderen"", die zusammen mit dem Grundlagenteil sowohl therapeutisch als auch sozial- und heilpädagogisch aufbereitet werden können.

""Die Zukunft der Heilkunst liegt in der Rückkehr der Künste.""
James Hillman

""Jedes Umweltmaterial und jede Kombination von Materialien kann in der Gestaltung zu Kunst werden.""
Paolo J. Knill

""Die einzig revolutionäre Kraft ist die Kraft der menschlichen Kreativität, die einzig revolutionäre Kraft ist die Kunst.""
Joseph Beuys

""Der Autor legt ein Grundlagenwerk zur Intermedialen Musiktherapie vor, das sich in Verbindung mit einem grosszügig bebilderten Praxisteil von Constanze Rüdenauer-Speck als wertvolles Handbuch für alle Studierenden, Lehrenden und
Freunde der sozialen Berufe erweisen dürfte.""
Kurt Brust, Herausgeber

""Hans-Helmut Decker-Voigt hat mit seinem Institut für Medien- und Ausdruckstherapie grundlegende Prinzipien einer intermedialen Berufsausbildung entwickelt und später an der Hochschule für Musik und Theater Hamburg umgesetzt"".
Paolo J. Knill und Herbert Eberhart";978-3-95490-383-2;Deutsch
Decker-Voigt04d;Decker-Voigt;Hans-Helmut;"""... da bewegt sich was..."" Intermediale Musiktherapie in sozialen Berufen.";2018;Medien, intermediale Musiktherapie, Knills, Digitalisierung;"Jede Gestaltung mit künstlerischen Medien ""bewegt"" und ändert damit die Psychodynamik der einzelnen KlientInnen/ PatientInnen bzw. die Dynamik einer Gruppe. Dieses Buch führt ein in die Arbeit mit intermedialen Verfahrensschritten: Die Verbindung einzelner künstlerischer Medien wie Musik, Bewegung/Tanz, Sprache, Malen/Bildnerisches Gestalten, digitale Instrumente und der Natur als Co-Therapeutin. Die jahrelange Zusammenarbeit von Paolo J. Knill (Ausdruckstherapie) und Hans-Helmut Decker-Voigt (Musik- und Medientherapie) veranlasst den Herausgeber anzuregen, diese Verfahren für die sozialen Berufe unter Einbeziehung der neuen digitalen Medien sowie der uralten der Natur für soziale Berufe aufzubereiten. Der Praxisteil von Constanze Rüdenauer-Speck lädt ein zu Spielprozessen ""von einem Medium zum anderen"", die zusammen mit dem Grundlagenteil sowohl therapeutisch als auch sozial- und heilpädagogisch aufbereitet werden können.

""Die Zukunft der Heilkunst liegt in der Rückkehr der Künste.""
James Hillman

""Jedes Umweltmaterial und jede Kombination von Materialien kann in der Gestaltung zu Kunst werden.""
Paolo J. Knill

""Die einzig revolutionäre Kraft ist die Kraft der menschlichen Kreativität, die einzig revolutionäre Kraft ist die Kunst.""
Joseph Beuys

""Der Autor legt ein Grundlagenwerk zur Intermedialen Musiktherapie vor, das sich in Verbindung mit einem grosszügig bebilderten Praxisteil von Constanze Rüdenauer-Speck als wertvolles Handbuch für alle Studierenden, Lehrenden und
Freunde der sozialen Berufe erweisen dürfte.""
Kurt Brust, Herausgeber

""Hans-Helmut Decker-Voigt hat mit seinem Institut für Medien- und Ausdruckstherapie grundlegende Prinzipien einer intermedialen Berufsausbildung entwickelt und später an der Hochschule für Musik und Theater Hamburg umgesetzt"".
Paolo J. Knill und Herbert Eberhart";978-3-95490-383-2;Deutsch
